2018_DEPUTADO ESTADUAL_1_total,2018_DEPUTADO FEDERAL_1_total,2018_GOVERNADOR_1_total,2018_GOVERNADOR_2_total,2018_PRESIDENTE_1_total,2018_PRESIDENTE_2_total,2018_SENADOR_1_total,2022_DEPUTADO ESTADUAL_1_total,2022_DEPUTADO FEDERAL_1_total,2022_GOVERNADOR_1_total,2022_GOVERNADOR_2_total,2022_PRESIDENTE_1_total,2022_PRESIDENTE_2_total,2022_SENADOR_1_total,carla_2018_1,carla_2022_1,diferenca_governo_presidente_pp,eduardo_2018_1,eduardo_2022_1,eleitorado,gil_2018_1,gil_2022_1,haddad_2022_1,haddad_2022_2,id,jair_2018_1,jair_2018_1_pct,jair_2018_2,jair_2018_2_pct,jair_2022_1,jair_2022_1_pct,jair_2022_2,jair_2022_2_pct,mario_2022_1,mudanca_jair_pp,nome,pib_2023,pib_pc_2023,populacao,pt_2018_1,pt_2018_2,pt_2022_1,pt_2022_2,regiao,renda,tarcisio_2022_1,tarcisio_2022_1_pct,tarcisio_2022_2,tarcisio_2022_2_pct,virada
1401,1478,1461,1534,1631,1592,2606,1501,1601,1619,1681,1726,1739,1503,9,25,1.9799819311255007,98,20,2204,11,0,616,799,3532157,719,44.08338442673207,924,58.040201005025125,767,44.43800695249131,878,50.48878665899942,1,-7.551414346025702,Nantes,189555515.0,71261.47,2660.0,540,668,854,861,Presidente Prudente,1361.26,543,33.539221741815936,882,52.468768590124924,Jair → Jair
2496,2747,2643,2750,3008,2865,4696,2962,3170,3231,3319,3443,3453,2953,1,33,2.5283174644891417,134,54,4462,80,192,1360,1652,3532207,1310,43.55053191489362,1601,55.88132635253054,1430,41.533546325878596,1647,47.69765421372719,1,-8.183672138803352,Narandiba,896056601.0,156845.2,5713.0,989,1264,1786,1806,Presidente Prudente,1397.19,1106,34.23088826988548,1667,50.22597167821633,Jair → PT
3457,3700,3707,3663,4034,3737,6462,3744,3959,3870,4018,4101,4118,3699,6,63,1.427911455274966,284,135,5682,23,25,1029,1575,3532306,2268,56.22211204759544,2786,74.55177950227456,2206,53.79175810777859,2445,59.37348227294803,19,-15.178297229326525,Natividade da Serra,159424698.0,22778.21,6999.0,575,951,1535,1673,São José dos Campos,1183.61,1803,46.58914728682171,2443,60.801393728223,Jair → Jair
7396,7874,7931,8255,9195,8841,13632,8810,9540,9489,9920,10663,10650,8671,25,261,1.4782295926094164,640,307,14490,85,80,2550,3636,3532405,5290,57.53126699293094,6753,76.38276213098065,5805,54.44058895245241,6589,61.86854460093897,20,-14.514217530041684,Nazaré Paulista,595409604.0,32684.28,18217.0,1125,2088,3793,4061,Campinas,1356.62,3868,40.76298872378543,6284,63.346774193548384,Jair → Jair
4283,4281,4158,4610,5113,5058,7034,4692,4832,5054,5406,5593,5742,4512,9,175,2.012702322702708,307,179,7067,25,40,1264,2002,3532504,3066,59.96479561901037,3699,73.13167259786476,3076,54.997318076166636,3500,60.95437129919888,19,-12.177301298665881,Neves Paulista,384591644.0,39652.71,9699.0,669,1359,2105,2242,São José do Rio Preto,1828.88,2315,45.80530273051048,3404,62.96707362190159,Jair → Jair
4773,5038,4907,5394,5601,5488,8314,5135,5534,5490,5741,5916,5968,5244,8,201,1.142101193008486,288,139,7761,34,32,1236,1741,3532603,3639,64.97054097482592,4335,78.99052478134111,3756,63.488843813387426,4090,68.53217158176943,6,-10.458353199571675,Nhandeara,507862208.0,51549.15,9852.0,669,1153,1736,1878,São José do Rio Preto,1668.97,3168,57.704918032786885,4000,69.67427277477792,Jair → Jair
2106,2111,2123,2306,2548,2470,3453,2353,2445,2576,2730,2855,2915,2313,0,64,1.3332579370315187,255,104,3880,3,7,693,1094,3532702,1243,48.783359497645215,1557,63.036437246963565,1523,53.345008756567424,1708,58.59348198970841,5,-4.442955257255157,Nipoã,146719324.0,30888.28,4750.0,634,913,1175,1207,São José do Rio Preto,1346.36,1093,42.43012422360248,1636,59.92673992673993,Jair → Jair
2908,3040,2933,3277,3532,3479,4947,3359,3592,3692,3824,3972,3981,3455,13,189,1.841862077083718,225,145,5433,21,35,776,1283,3532801,2091,59.20158550396376,2598,74.67663121586664,2379,59.894259818731115,2572,64.60688269279076,5,-10.069748523075873,Nova Aliança,361490478.0,54010.23,6693.0,463,881,1311,1409,São José do Rio Preto,1565.88,1723,46.66847237269773,2541,66.44874476987448,Jair → Jair
4690,4754,4774,4633,5148,4837,8740,4864,5098,5048,5176,5352,5348,4794,0,46,1.5957517522331344,197,87,6958,14,15,1990,2337,3532827,2176,42.26884226884227,2877,59.479015918958034,2575,48.11285500747384,2848,53.25355272999252,6,-6.225463188965513,Nova Campina,260753457.0,30687.71,8497.0,1479,1960,2470,2500,Sorocaba,926.06,2066,40.9270998415214,2839,54.849304482225655,Jair → Jair
1207,1192,1119,1194,1325,1276,2065,1243,1299,1312,1398,1412,1449,1213,5,30,1.666089089115772,48,19,2278,2,4,411,654,3532843,645,48.679245283018865,750,58.77742946708464,642,45.46742209631728,747,51.5527950310559,2,-7.224634436028737,Nova Canaã Paulista,57172272.0,28135.96,2032.0,332,526,651,702,São José do Rio Preto,1499.45,435,33.15548780487805,744,53.21888412017167,Jair → Jair
